Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,Australia (Canberra),-33.99803,146.84326,1/2012,13,,Clst,"Tucker, Brianna. ""Measles outbreak 'a warning'."" The Canberra Times, January 16, 2012.",http://www.canberratimes.com.au/news/local/news/health/measles-outbreak-a-warning/2420441.aspx
Measles,Measles,Australia,-22.73591,140.018765,1/2012-11/2012,89,,Epd,"Lawrence Machado, ""Measles cases prompt health warning in The Hills, western Sydney,"" Rouse Hill Times, November 12, 2012.",http://rouse-hill-times.whereilive.com.au/news/story/measles-cases-prompt-health-warning-in-the-hills-western-sydney/
Measles,Measles,Australia (Adelaide),-37.96443,145.05598,2/2012,2,,2nd,"Seven News Adelaide. ""Alert issued over 2nd measles case."" February 8, 2012.",http://au.news.yahoo.com/latest/a/-/latest/12847286/alert-issued-over-second-measles-case/
Measles,Measles,Australia (Sydney),-33.76946,150.90849,4/2012,2,,Clst,"Blacktown Sun. ""Measles cases at Blacktown Hospital prompt health warning."" April 19, 2012.",http://www.blacktownsun.com.au/news/local/news/health/measles-cases-at-blacktown-hospital-prompt-health-warning/2527612.aspx
Measles,Measles,Australia (Sydney),-33.88305,151.11442,9/2013,3,,Clst,"ABC 7 News. ""Measles warning for Sydney after three cases in inner west."" September 24, 2013. ",http://au.news.yahoo.com/a/19082400/measles-warning-for-sydney-after-3-cases-in-inner-west/
Measles,Measles,Australia (Queensland),-20.91757,142.7028,6/2012,1,,Isl,"Karat, Satish. ""Queensland Health Issues Warning After a Case of Measles Surfaces."" TopNews. June 8, 2012.",http://topnews.us/content/248757-queensland-health-issues-warning-after-case-measles-surfaces
Measles,Measles,Australia (Campbelltown),-34.06777,150.81319,6/2012-7/2012,22,,Clst,"Pleffer, Alexander. ""Moves to contain measles outbreak."" Campbelltown MacArther Adviser. July 25, 2012.",http://www.macarthuradvertiser.com.au/news/local/news/general/moves-to-contain-measles-outbreak/2635057.aspx
Measles,Measles,Australia (Perth),-31.94725,115.86065,12/2013,1,,Isl,"Government of Western Australia Department of Health. ""Measles warning issued for passengers on Jakarta-Perth flight."" December 19, 2013.",http://health.wa.gov.au/press/view_press.cfm?id=1379
Measles,Measles,Australia (Perth),-31.94725,115.86065,1/2014,1,,Isl,"Government of Western Australia Department of Health. ""Measles warning issued for people who attended Garden City Hoyts Cinema Complex."" January 16, 2014",http://health.wa.gov.au/press/view_press.cfm?id=1385
Measles,Measles,Australia (Queensland),-25.12539,144.22852,7/2012,1,,Isl,"Sykes, Emma. ""Confirmed case of measles in Brisbane."" ABC. July 16, 2012.",http://www.abc.net.au/local/stories/2012/07/16/3546915.htm
Measles,Measles,Australia (Sydney),-33.89379,151.22561,8/2012,40,,Clst,"Mamamia News, ""News: Measles Outbreak. Read this Fast,"" August 16, 2012.",http://www.mamamia.com.au/news/news-measles-outbreak-due-to-kids-not-being-immunised/?utm_source=rss&utm_medium=rss&utm_campaign=news-measles-outbreak-due-to-kids-not-being-immunised
Measles,Measles,Australia (New South Wales),-31.25322,146.9211,11/2012,2,,Isl,"Lawrence Machado, ""Measles cases prompt health warning in The Hills, western Sydney,"" Rouse Hill Times, November 12, 2012.",http://rouse-hill-times.whereilive.com.au/news/story/measles-cases-prompt-health-warning-in-the-hills-western-sydney/
Mumps,Mumps,Australia (New South Wales),-31.25322,146.9211,6/2013,15,,Clst,"Jeremy McAnulty. ""Measles Mumps Rubella Vaccination."" NSW Government Health. June 13, 2013.",http://www.health.nsw.gov.au/Infectious/alerts/Documents/Mumps_GP_info_13June2013.pdf
Measles,Measles,Australia (Adelaide),-34.92862,138.59996,4/2013,3,,Isl,"Adelaide Now. ""Third case of measles confirmed in South Australia."" April 8, 2013.                            ",http://www.adelaidenow.com.au/news/south-australia/third-case-of-measles-confirmed-in-south-australia/story-e6frea83-1226615128968
Measles,Measles,Australia (Victoria),-37.81411,144.96328,8/2013,10,,Clst,"Medew, Julia. ""Measles outbreak fear as virus spreads."" The Age Victoria. August 26, 2013.",http://www.theage.com.au/victoria/measles-outbreak-fear-as-virus-spreads-20130826-2skyo.html
Measles,Measles,Australia (Queensland),-27.61409,152.75847,8/2013-11/2013,35,,Clst,"The Brisbane Times. ""Measles outbreak hits Queensland."" November 8, 2013.",http://www.brisbanetimes.com.au/queensland/measles-outbreak-hits-queensland-20131108-2x678.html
Measles ,Measles,Australia (Queensland),-26.6122,150.78,10/2013,12,,Clst,"The Queensland Times. ""Doctor confirms a 12th case of measles in city,"" October 23, 2013. ",http://www.qt.com.au/news/doctor-confirms-a-12th-case-of-measles-in-city/2060391/
Measles,Measles,Australia (Queensland),-20.91757,142.7028,10/2013,4,,Isl,"The Daily Telegraph, ""Measles outbreak at Qld Jail."" October 30, 2013. ",http://www.dailytelegraph.com.au/news/breaking-news/measles-outbreak-at-qld-jail/story-fni0xqi3-1226750027152
Mumps,Mumps,Australia (New South Wales),-31.25322,146.9211,5/2013,15,,Clst,"Walcha News. ""Warning on NSW mumps outbreak."" June 13, 2013.",http://www.walchanewsonline.com.au/story/1571050/warning-on-nsw-mumps-outbreak/?cs=24
Measles,Measles,Australia (New South Wales),-28.23696,153.5098,9/2012,1,,Isl,"The Northen Star. ""Tweed measles alert: Public health warns of rising cases,"" September 11, 2013. ",http://www.northernstar.com.au/news/tweed-measles-alert-public-health-warn-of-rising-c/2017029/
Measles,Measles,Australia,-23.99618,122.8767,10/2013-12/2013,27,,Epd,"Natahadibrata, Nadya. ""Govt plays down measles 
outbreak."" The Jakarta Post. December 12, 2013.",http://www.thejakartapost.com/news/2013/12/12/govt-plays-down-measles-outbreak.html
Mumps,Mumps,Australia,-31.953,115.85747,12/2012-3/2013,30,,Clst,"O'Leary, Cathy. ""Warning on mumps outbreak."" The West Australian. March 26, 2013.",http://au.news.yahoo.com/thewest/a/-/breaking/16443436/warning-on-mumps-outbreak/
Measles,Measles,Australia (Swansea),-33.08941,151.63696,1/2014,4,,Clst,"Rarken. ""Four new cases of measles at Gower College Swansea Tycoch campus."" South Wales Evening Post."" January 29, 2014.",http://www.southwales-eveningpost.co.uk/new-cases-measles-Gower-College-Swansea-Tycoch/story-20521675-detail/story.html
Measles,Measles,Austria,47.51623,14.55007,9/2011-12/2011,22,,Clst,"Measles and rubella monitoring, Surveillance Report, October 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monitoring-oct-2012.pdf
Measles,Measles,Austria,47.07012,12.98584,11/2011-10/2012,35,,Clst,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.",http://www.ecdc.europa.eu/en/press/news/Lists/News/ECDC_DispForm.aspx?List=32e43ee8-e230-4424-a783-85742124029a&ID=815&RootFolder=%2Fen%2Fpress%2Fnews%2FLists%2FNews
Rubella,Rubella,Austria,48.18074,15.46875,11/2011-10/2012,10,,Isl,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Measles,Measles,Bangladesh (Bandarban),22.2,90.216667,4/2011,200,20,Epid,"BanglaNews24 (Dhaka), ""Measles claims 20, infects 200 in Bandarban backwoods."" April 26, 2011.",http://www.banglanews24.com/English/detailsnews.php?nssl=44de5c4a29b65e29ca38f99f600921ea&nttl=2011042719317
Measles,Measles,Bangladesh (Bandarban),22.2,92.216667,5/2011,100,3,Epd,Measles Surveillance in South East Asia Region. World Health Organization (2009): 24.,http://www.measlesinitiative.org/mi-files/Tools/Presentations/Global%20Measles%20Management%20Meeting/SEARO_Measles_surveillance.pdf
Measles,Measles,Belgium,50.503887,4.469936,1/2011-12/2011,192,,Epd,"Sabbe, M. ""Measles resurgence in Belgium from January to mid-April 2011: a preliminary report."" Eurosurveillance 16, no. 16 (2011). + ""Measles and rubella monitoring,"" Surveillance Report, October 2012.",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19848; http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monitoring-oct-2012.pdf
Measles,Measles,Belgium,50.54529,4.30801,11/2011-10/2012,56,,Epd,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Measles,Measles,Benin,9.61429,2.35794,1/2009-12/2009,1001,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet.
January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Benin,9.30769,2.315834,1/2010-4/2010,85,,Epd,UNICEF - Press centre - Measles outbreaks threaten progress in child mortality in west and central Africa. UNICEF - UNICEF Home.,http://www.unicef.org/media/media_53399.html
Measles,Measles                                    ,Bosnia                                          ,43.73935,18.3252,5/2009,161,,Epd,Global Family Doctor - Wonca Online. Global Family Doctor - Wonca Online. .,http://www.globalfamilydoctor.com/index.asp?PageID=10108
Measles,Measles,Botswana,-22.32847,24.68487,1/2010-12/2010,1412,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet.
January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Brazil (Sao Paolo),-23.54894,-46.63882,1/2011-12/2011,27,,Epd,"Centre for Epidemiological Surveillance, ""Caso confirmado de Sarampo, Genótipo D8, residente 
em Bauru e histórico de deslocamento internacional,"" January 21, 2013.",http://www.cve.saude.sp.gov.br/htm/resp/pdf/alerta_sarampo_21jan13.pdf
Measles,Measles,Brazil,-17.93018,-43.79085,1/2013,3,,Clst,"Centre for Epidemiological Surveillance, ""Caso confirmado de Sarampo, Genótipo D8, residente 
em Bauru e histórico de deslocamento internacional,"" January 21, 2013.",http://www.cve.saude.sp.gov.br/htm/resp/pdf/alerta_sarampo_21jan13.pdf
Measles,Measles,Brazil,-8.81372,-36.95411,1/2013-12/2013,138,,Epd,"Banholzer, Marília. ""Pernambuco em alerta com aumento de casos de sarampo em todo o Estado."" NE10. January 10, 2014.
",http://ne10.uol.com.br/canal/cotidiano/grande-recife/noticia/2014/01/10/pernambuco-em-alerta-com-aumento-de-casos-de-sarampo-em-todo-o-estado-464518.php
Measles,Measles,Brazil (Fortaleza) ,-3.73186,-38.52667,1/2014,10,,Clst,"Good Morning Brazil. ""Fortaleza faces measles outbreak and parents run to clinics."" January 28, 2014.",http://g1.globo.com/bom-dia-brasil/noticia/2014/01/fortaleza-enfrenta-surto-de-sarampo-e-pais-correm-aos-postos-de-saude.html
Measles,Measles                      ,Bulgaria                                     ,42.733883,25.48583,4/2009-11/2009,958,,Epd,"Marinova, L. ""An update on an ongoing measles outbreak in Bulgaria, April-November 2009."" Eurosurveillance 14, no. 50 (2011).",http://www.eurosurveillance.org/viewarticle.aspx?articleid=19442
Measles,Measles,Bulgaria,40.733883,24.48583,1/2011-4/2011,131,,Epd,"Marinova, L. ""An update on an ongoing measles outbreak in Bulgaria, April-November 2009."" Eurosurveillance 14, no. 50 (2011). + ""Measles and rubella monitoring,"" Surveillance Report, October 2012.",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19442; http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monitoring-oct-2012.pdf
Measles,Measles,Bulgaria,42.79943,24.90051,11/2011-10/2012,2,,Isl,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Rubella,Rubella,Bulgaria,43.0167,25.92224,11/2011-10/2012,16,,Isl,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Other,Meningitis,Burkina Faso,12.238333,-1.561593,1/2010,5118,718,Epd,"Africa Speaks, ""Meningitis kills 718 in Burkina Faso,"" April 23, 2010.",http://www.afrikaspeaks.com/news.php?p=Archive&cat=International&title=Meningitis+kills+718+in+Burkina+Faso&curpage=7
Measles,Measles                                   ,Burkina Faso ,12.938333,-1.61593,2/2009,400,,Epd,"IRIN (OUAGADOUGOU), ""In Brief: Measles outbreak in Burkina Faso,"" February 11, 2009.",http://www.irinnews.org/Report.aspx?ReportId=82859
Measles,Measles                                       ,Burkina Faso,11.938333,-1.761593,4/2009,19000,150,Epd,"IRIN (OUAGADOUGOU), ""BURKINA FASO: Largest measles outbreak in more than 10 years,"" April 9, 2009.",http://www.irinnews.org/Report.aspx?ReportId=83876
Measles,Measles,Burkina Faso,13.238333,-1.161593,1/2010-4/2010,1258,10,Epd,UNICEF - Press centre - Measles outbreaks threaten progress in child mortality in west and central Africa. UNICEF - UNICEF Home.,http://www.unicef.org/media/media_53399.html
